title,image_url,gender
"Arrival 5"" Shorts",https://cdn.shopify.com/s/files/1/0156/6146/files/ArrivalSlim5-ShortCoreOliveA2A1M-EBF1.A_3840x.jpg?v=1702281434,1
2012 Lifting Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/Graphic-GoodLevelOversizedHoodieGSBlackA1C4C-BB2J6256_8c221044-a40a-4ad0-ae77-7c82d3bac568_3840x.jpg?v=1728378647,1
Minimal Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/MinimalSportsBraGSBlackB3A2J-BBBB_3840x.jpg?v=1718696763,0
Strength Department Graphic Joggers,https://cdn.shopify.com/s/files/1/0156/6146/files/StrengthDepartmentGraphicJogger-GSBlack-B8A3W-BB2J-1025_f0009a2b-c43e-4624-b89c-2e545c720d37_3840x.jpg?v=1725552942,0
Arrival Shorts,https://cdn.shopify.com/s/files/1/0156/6146/products/ArrivalShorts-Navy-A2A1L-UBCY-1729.179_3840x.jpg?v=1669042945,1
Training Oversized Fleece Sweatshirt,https://cdn.shopify.com/s/files/1/0156/6146/files/TrainingOversizedFleeceSweatshirtGSBlackB5A9R-BB2J8852_1e3b15e6-66a1-4a7a-b11c-44b3b8d94705_3840x.jpg?v=1715358537,0
Strength Department Graphic Joggers,https://cdn.shopify.com/s/files/1/0156/6146/files/StrengthDepartmentGraphicJogger-GSBlack-B8A3W-BB2J-1025_f0009a2b-c43e-4624-b89c-2e545c720d37_3840x.jpg?v=1725552942,0
Everyday Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessShortsGsStrengthGreenB6A8M-ECJH_3840x.jpg?v=1722504971,0
Training Oversized T-Shirt,https://cdn.shopify.com/s/files/1/0156/6146/files/TRAININGOVERSIZEDT-SHIRTBlackB1A7M-BBBB8842_3840x.jpg?v=1714556688,0
Adapt Fleck Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/AdaptFleckSeamlessShortsEng-L-A0015GsRepsRedGsConditioningRedB6A1J-RBYC-0067_192fa998-a55c-4c42-af77-2b5bcbc0e557_3840x.jpg?v=1722504873,0
"Arrival 5"" Shorts",https://cdn.shopify.com/s/files/1/0156/6146/products/ARRIVAL5SHORTSBLACKA2A1M-BBBB_3840x.jpg?v=1680785741,1
Training T-Shirt,https://cdn.shopify.com/s/files/1/0156/6146/files/BFCM-GoodLevelT-Shirt_Poly_GSBlackA1C4O-BB2J-0183_3840x.jpg?v=1728378654,1
