Product Name,Price
"Dance Studio Mid-Rise Pant \
Regular",118.0
"Scuba Oversized Funnel-Neck Half Zip \
Long",128.0
"Varsity Scoop-Neck Cropped Tennis Tank Top \
Medium Support, B/C Cup",78.0
"Lightweight High-Rise Relaxed Short 3"" \
Long Liner",78.0
Scuba Full-Zip Hoodie,118.0
Everywhere Belt Bag 1L,38.0
"lululemon Align\'99 Tank Top \
Light Support, C/D Cup",68.0
"lululemon Align\'99 High-Rise Short 4""",64.0
It's Rulu Fleece Half Zip,118.0
"Hotty Hot High-Rise Lined Short 2.5""",68.0
"Swiftly Tech Racerback Tank Top 2.0 \
Waist Length",58.0
"Speed Up High-Rise Lined Short 2.5""",68.0
"lululemon Energy Longline Bra \
Medium Support, B\'96D Cups",58.0
"lululemon Align\'99 High-Rise Short 6""",64.0
"lululemon Align\'99 High-Rise Pant 28""",98.0
"Groove Nulu Super-High-Rise Flared Pant \
Regular",118.0
"Wunder Train High-Rise Tight 28""",98.0
"Softstreme High-Rise Pant \
Regular",128.0
"Flow Y Bra Nulu \
Light Support, A\'96C Cups",48.0
"Swiftly Tech Short-Sleeve Shirt 2.0 \
Hip Length",68.0
"Dance Studio Mid-Rise Jogger \
Full Length",98.0
"lululemon Align\'99 High-Rise Mini-Flare Pant \
Regular",118.0
"Hotty Hot High-Rise Lined Short 4""",68.0
Scuba Oversized Half-Zip Hoodie,118.0
"Swiftly Tech Long-Sleeve Shirt 2.0 \
Waist Length",78.0
"Wunder Under SmoothCover High-Rise Tight 25""",98.0
Dance Studio Mid-Rise Cropped Pant,88.0
Hold Tight Long-Sleeve Shirt,68.0
lululemon Align\'99 Waist-Length Racerback Tank Top,58.0
"lululemon Align\'99 Tank Top Light Support, A/B Cup",68.0
Love Curved-Hem Crewneck T-Shirt,48.0
"lululemon Align\'99 High-Rise Pant with Pockets 25""",128.0
"lululemon Align\'99 High-Rise Ribbed Pant 25""",118.0
Scuba Oversized Funnel-Neck Half Zip,118.0
Soft Jersey Classic-Fit Mid-Rise Jogger,98.0
"Like a Cloud Longline Bra \
Light Support, B/C Cup",68.0
"lululemon Align\'99 V-Neck Bra \
Light Support, A/B Cup",58.0
"Pace Rival Mid-Rise Skirt \
Long",78.0
"lululemon Align\'99 High-Rise Ribbed Pant 28""",118.0
"Scuba Oversized Pullover \
Wordmark",118.0
Scuba Oversized Full-Zip Hoodie,128.0
Swiftly Tech Cropped Short-Sleeve Shirt 2.0,68.0
"Like a Cloud Longline Bra \
Light Support, D/DD Cup",68.0
All It Takes Ribbed Nulu T-Shirt,58.0
Restfeel Women's Slide,58.0
Love Tank Top,38.0
