Feature,Coefficient
tee,-0.0
oxford,0.0
bomber,0.0
ncaa,-0.0
vest,0.0
3-in-1,0.0
collared,-0.0
packable,0.0
seersucker,0.0
playoff,-0.0
victory,-0.0
color-block,-0.0
jogger,0.0
windshirt,0.0
mini,0.0
trunks,-0.0
balloon,0.0
flow,-0.0
capri,-0.0
adjustable,-0.0
logo,-0.0
boardskirt,-0.0
sweater,0.0
rain,0.0
tie-back,0.0
zippered,0.0
volley,-0.0
down,0.0
light-support,-0.0
skirt,0.0
allover,0.0
hyper,-0.0
soccer,-0.0
pockets,0.0
hooded,0.0
m90,0.0
scoop,-0.0
socks,-0.0
computational,0.0
softball,-0.0
scoop-back,-0.0
gymnastics,-0.0
with,0.0
dugout,0.0
5-pocket,0.0
overalls,0.0
destroyer,0.0
open-hem,0.0
1-piece,0.0
wordmark,0.0
3/4-sleeve,-0.0
shorts,-7.092042840711411
diamond,-0.0
infinalon,0.0
statement,-0.0
storm-fit,0.0
parade,0.0
retro,0.0
zip,0.0
easy,-0.0
one-piece,0.0
slim,-0.0
short-sleeve,-0.0
poncho,0.0
zip-off,0.0
military,0.0
open,0.0
sports,-0.0
tennis,0.0
brief,-0.0
straight,0.0
leg,0.0
bralette,-0.0
bike,-0.0
high-support,-0.0
hat,-0.0
pair,-0.0
training,-0.0
ringer,-0.0
wide-leg,-0.0
mini-rib,-0.0
belted,-0.0
lace-up,0.0
crewneck,-0.0
waxed,0.0
tees,-0.0
hockey,-0.0
tailored,0.0
full-coverage,0.0
fleece-lined,0.0
half-zip,-0.0
fit,0.0
rookie,-0.0
crew-neck,-0.0
trail,-0.0
2-in-1,-0.0
halo,0.0
light,-0.0
high-rise,-0.0
canvas,0.0
slim-fit,0.0
cheer,-0.0
defensive,0.0
tankini,-0.0
cuff,0.0
strappy,-0.0
max,-0.0
flag,-0.0
leggings,-0.0
low-rise,0.0
plus,-0.0
ignite,-0.0
longline,-0.0
7/8,-0.0
turtleneck,0.0
asymmetrical,-0.0
wearable,0.0
legend,-0.0
therma-fit,0.0
stock,-0.0
satin,0.0
sleeve,-0.0
square,0.0
square-neck,0.0
zip-front,-0.0
tights,-0.0
warm,-0.0
utility,0.0
poolside,-0.0
shacket,0.0
sweatpants,-0.0
cuffed,0.0
rugby,0.0
bodycon,-0.0
fairway,0.0
bottoms,-0.0
slider,-0.0
and,0.0
trouser,0.0
tapered,-0.0
pocket,0.0
anorak,0.0
midweight,0.0
french-terry,-0.0
"11""",-0.0
breathe,0.0
footie,-0.0
atmosphere,0.0
high-neck,0.0
"6""",-0.0
jacquard,-0.0
hydrastrong,-0.0
bandon,0.0
tunnel,0.0
air,-0.0
flight,0.0
panel,-0.0
suit,0.0
terry,0.0
patch,-0.0
hijab,-0.0
biker,-0.0
layered,0.0
nfl,0.0
&,-0.0
hem,0.0
pleated,-0.0
dna,-0.0
mod,-0.0
9\94,0.0
polo,-0.0
print,0.0
non-padded,-0.0
jumpman,-0.0
repel,0.0
insulated,0.0
rashguard,-0.0
high,-0.0
mid-rise,-0.0
undershirt,-0.0
keyhole,0.0
n24,-0.0
quilted,0.0
fitted,-0.0
muscle,-0.0
work,0.0
skort,-0.0
reverse,-0.0
split-hem,-0.0
joggers,0.0
knit,0.0
"10.5""",-0.0
game,0.0
trench,0.0
scoop-neck,-0.0
2024,-0.0
heathered,-0.0
taper,-0.0
pullover,0.0
short,0.0
u-neck,-0.0
pairs,-0.0
2-pack,-0.0
button-down,0.0
fusion,0.0
nba,-0.0
wool,0.0
striped,-0.0
ribbed-panel,-0.0
limited,0.0
modal,-0.0
pickleball,-0.0
extended,-0.0
standard,0.0
henley,0.0
football,0.0
pre-match,0.0
long,0.0
"2""",-0.0
sweatshirt,-0.0
versatile,-0.0
club,-0.0
one,-0.0
woven,0.0
of,-0.0
board,0.0
poly,0.0
unlined,-0.0
blade,-0.0
"4""",-0.0
midkini,-0.0
hybrid,-0.0
water-repellent,0.0
golf,0.0
anthem,0.0
hoodie,0.0
asymmetrical-waist,0.0
breakaway,0.0
button-up,0.0
bandeau,-0.0
denim,0.0
courtside,0.0
chore,0.0
boxy,-0.0
duster,0.0
jordan,-0.0
mid,0.0
pant,-0.0
p44,0.0
girlfriend,0.0
graphic,-0.0
camo,0.0
90,-0.0
cargo,0.0
double-knee,-0.0
"7""",-0.0
convertible,-0.0
reversible,-0.0
tracksuit,0.0
"10""",-0.0
hike,0.0
holiday,-0.0
high-waisted,-0.0
full-length,0.0
marina,0.0
nyc,-0.0
