,Feature,Mean SHAP Value,Absolute value
108,leggings,1421078.7033259908,1421078.7033259908
158,terry,393521.1121203267,393521.1121203267
62,short-sleeve,262978.8285919807,262978.8285919807
170,polo,259045.1738264478,259045.1738264478
251,camo,250280.8755858065,250280.8755858065
337,crop,243113.3038816177,243113.3038816177
413,washed,231766.06125107297,231766.06125107297
236,asymmetrical-waist,208563.16137311762,208563.16137311762
359,hydroguard,197472.32416662443,197472.32416662443
21,boardskirt,174065.13093480747,174065.13093480747
242,chore,172454.79667376413,172454.79667376413
428,bikini,167840.8218767019,167840.8218767019
120,satin,145693.2157828611,145693.2157828611
54,statement,133231.4681112064,133231.4681112064
372,volleyball,128965.56164861836,128965.56164861836
385,sleeveless,121420.00045666425,121420.00045666425
37,socks,109497.05273102605,109497.05273102605
211,pickleball,91967.90637586873,91967.90637586873
160,hijab,88996.00811835239,88996.00811835239
414,track,80645.43200379812,80645.43200379812
455,kick,78774.70181438938,78774.70181438938
338,"9""",65319.06539880779,65319.06539880779
32,soccer,62313.86711407274,62313.86711407274
228,blade,52921.6415580948,52921.6415580948
196,heathered,49444.20599429842,49444.20599429842
203,button-down,42810.402209928834,42810.402209928834
380,wrestling,32464.287960637845,32464.287960637845
362,uv,31514.82408902672,31514.82408902672
217,long,28567.111269107372,28567.111269107372
82,lace-up,19772.095510321342,19772.095510321342
340,tight,18854.652922759975,18854.652922759975
299,4-pad,16528.622174541008,16528.622174541008
14,mini,15844.229169062115,15844.229169062115
304,3,15278.713916141265,15278.713916141265
159,patch,14697.639633404642,14697.639633404642
204,fusion,11069.113654319803,11069.113654319803
3,ncaa,10504.08013476564,10504.08013476564
216,pre-match,8401.53674933957,8401.53674933957
173,jumpman,8336.186795858184,8336.186795858184
339,1/2-length,8273.818193949266,8273.818193949266
166,pleated,7964.152792896914,7964.152792896914
201,pairs,5917.245120038481,5917.245120038481
444,maternity,4980.43819359005,4980.43819359005
310,lightweight,4062.8864565976264,4062.8864565976264
5,3-in-1,3498.017444827739,3498.017444827739
445,mesh,2614.012042346032,2614.012042346032
