,Feature,Mean SHAP Value,Absolute value,Normalized Mean SHAP Value
108,leggings,1421078.7033259908,1421078.7033259908,0.18703026176871876
158,terry,393521.1121203267,393521.1121203267,0.05179189332661356
62,short-sleeve,262978.8285919807,262978.8285919807,0.03461103106821121
170,polo,259045.1738264478,259045.1738264478,0.034093316969207775
251,camo,250280.8755858065,250280.8755858065,0.03293983476563257
337,crop,243113.3038816177,243113.3038816177,0.031996500093919474
413,washed,231766.06125107297,231766.06125107297,0.03050307277383029
236,asymmetrical-waist,208563.16137311762,208563.16137311762,0.027449304936897293
359,hydroguard,197472.32416662443,197472.32416662443,0.025989623512420394
21,boardskirt,174065.13093480747,174065.13093480747,0.022908968326207643
242,chore,172454.79667376413,172454.79667376413,0.022697029861664355
428,bikini,167840.8218767019,167840.8218767019,0.022089777841020387
120,satin,145693.2157828611,145693.2157828611,0.019174898773740966
54,statement,133231.4681112064,133231.4681112064,0.01753478980323123
372,volleyball,128965.56164861836,128965.56164861836,0.016973347568883926
385,sleeveless,121420.00045666425,121420.00045666425,0.015980265143807765
37,socks,109497.05273102605,109497.05273102605,0.014411068427987783
211,pickleball,91967.90637586873,91967.90637586873,0.012104031651126605
160,hijab,88996.00811835239,88996.00811835239,0.011712895743064394
414,track,80645.43200379812,80645.43200379812,0.010613864118025384
455,kick,78774.70181438938,78774.70181438938,0.010367654561718
338,"9""",65319.06539880779,65319.06539880779,0.008596738429359619
32,soccer,62313.86711407274,62313.86711407274,0.008201219855655424
228,blade,52921.6415580948,52921.6415580948,0.006965095213006102
196,heathered,49444.20599429842,49444.20599429842,0.006507424795274499
203,button-down,42810.402209928834,42810.402209928834,0.005634340105869832
380,wrestling,32464.287960637845,32464.287960637845,0.00427267276696378
362,uv,31514.82408902672,31514.82408902672,0.004147712428010171
217,long,28567.111269107372,28567.111269107372,0.0037597596010216336
82,lace-up,19772.095510321342,19772.095510321342,0.002602234619628386
340,tight,18854.652922759975,18854.652922759975,0.002481488649044369
299,4-pad,16528.622174541008,16528.622174541008,0.0021753563154140857
14,mini,15844.229169062115,15844.229169062115,0.002085282343671485
304,3,15278.713916141265,15278.713916141265,0.0020108540480813517
159,patch,14697.639633404642,14697.639633404642,0.0019343780056546077
204,fusion,11069.113654319803,11069.113654319803,0.0014568223557708338
3,ncaa,10504.08013476564,10504.08013476564,0.001382457461818811
216,pre-match,8401.53674933957,8401.53674933957,0.00110573862926157
173,jumpman,8336.186795858184,8336.186795858184,0.001097137825606156
339,1/2-length,8273.818193949266,8273.818193949266,0.0010889294020235121
166,pleated,7964.152792896914,7964.152792896914,0.0010481738823721486
201,pairs,5917.245120038481,5917.245120038481,0.0007787773479120225
444,maternity,4980.43819359005,4980.43819359005,0.000655482808158297
310,lightweight,4062.8864565976264,4062.8864565976264,0.0005347224722568527
5,3-in-1,3498.017444827739,3498.017444827739,0.00046037922941668163
445,mesh,2614.012042346032,2614.012042346032,0.00034403397602279713
369,top,2308.829154943424,2308.829154943424,0.00030386840659680196
270,ultra,1448.909515906765,1448.909515906765,0.00019069311601460656
133,bodycon,1399.3313003865405,1399.3313003865405,0.00018416805402819356
431,college,1225.6201017054618,1225.6201017054618,0.00016130566724733477
39,softball,988.6026504351507,988.6026504351507,0.0001301114512963891
151,hydrastrong,801.6536289975417,801.6536289975417,0.00010550681515973667
59,easy,763.4528294932924,763.4528294932924,0.00010047915165712269
223,woven,763.1636630788981,763.1636630788981,0.00010044109403930581
30,allover,715.9247429912984,715.9247429912984,9.42239101711801e-05
77,training,637.0745830804095,637.0745830804095,8.38463244582121e-05
241,courtside,623.0444849677872,623.0444849677872,8.19998025755725e-05
456,"3""",606.3362382566118,606.3362382566118,7.98008056102576e-05
244,duster,580.1902756782165,580.1902756782165,7.635969695541161e-05
15,trunks,465.1729702531108,465.1729702531108,6.122209993756687e-05
253,cargo,402.9331216678499,402.9331216678499,5.303062176953719e-05
333,bandage,401.15120651543225,401.15120651543225,5.27961012910962e-05
