,Feature,Mean SHAP Value,Absolute value
108,leggings,1421078.7033259908,1421078.7033259908
4,vest,-1009885.9906976753,1009885.9906976753
146,footie,-1081857.5960035063,1081857.5960035063
290,crew,-1159192.6325855677,1159192.6325855677
415,bodysuit,-1183048.1763705353,1183048.1763705353
267,dress,-1183291.5404209308,1183291.5404209308
36,scoop,-1224519.903517018,1224519.903517018
48,1-piece,-1227545.3117970836,1227545.3117970836
63,poncho,-1366739.783678114,1366739.783678114
349,bra,-1440614.6013143698,1440614.6013143698
315,swim,-1449317.0335074815,1449317.0335074815
246,mid,-1456152.3805692368,1456152.3805692368
425,performance,-1474962.7457129816,1474962.7457129816
421,size,-1600058.9338631402,1600058.9338631402
13,windshirt,-1604957.9808464558,1604957.9808464558
419,nwsl,-1638300.8682368358,1638300.8682368358
429,full-zip,-1732502.9239018033,1732502.9239018033
148,high-neck,-1736506.7253083256,1736506.7253083256
29,skirt,-1772906.8388423065,1772906.8388423065
243,boxy,-2018614.656106052,2018614.656106052
353,fleece,-2050597.9109109228,2050597.9109109228
121,sleeve,-2061323.392001385,2061323.392001385
240,denim,-2084777.1698180009,2084777.1698180009
202,2-pack,-2097167.5526952734,2097167.5526952734
406,tank,-2108279.0772943273,2108279.0772943273
88,full-coverage,-2158636.8416304113,2158636.8416304113
250,graphic,-2164941.7915520747,2164941.7915520747
423,flared,-2400458.032037136,2400458.032037136
22,sweater,-2403740.9257056755,2403740.9257056755
319,checkers,-2425723.1190905757,2425723.1190905757
334,drill,-2494295.673339316,2494295.673339316
297,running,-2544030.3404177856,2544030.3404177856
451,gentle-support,-2749208.264430439,2749208.264430439
182,quilted,-2975982.5292011416,2975982.5292011416
100,slim-fit,-3026556.0220952085,3026556.0220952085
305,medium-support,-3380434.3111019377,3380434.3111019377
330,solid,-3384424.1611620556,3384424.1611620556
130,sweatpants,-3413974.097623516,3413974.097623516
79,wide-leg,-3666491.307748494,3666491.307748494
60,one-piece,-3678287.795833411,3678287.795833411
395,mesh-paneled,-3751245.3987768395,3751245.3987768395
351,wnba,-3877482.812335732,3877482.812335732
377,bottom,-3891183.742000579,3891183.742000579
302,racing,-3930872.665268969,3930872.665268969
67,sports,-3979632.1133461343,3979632.1133461343
394,firm-support,-4048053.314721153,4048053.314721153
446,string,-4082702.3801113022,4082702.3801113022
277,1/4-zip,-4228921.756516781,4228921.756516781
293,jammer,-4534672.188631683,4534672.188631683
68,tennis,-4695191.0099964915,4695191.0099964915
207,striped,-4778263.354456244,4778263.354456244
322,3-pack,-4811896.211689033,4811896.211689033
125,tights,-4936114.844203687,4936114.844203687
422,velour,-4947534.187560844,4947534.187560844
426,winterized,-5089985.402352649,5089985.402352649
72,bralette,-5336963.7210087385,5336963.7210087385
405,over-oversized,-5755059.478701637,5755059.478701637
321,cropped,-6177043.065242637,6177043.065242637
