Product Title,Product Subtitle,Price
Nike Pro,Women's Dri-FIT Cropped Tank Top,$40
Nike Pro Sculpt,"Women's High-Waisted 3"" Biker Shorts",$38
Nike Sportswear Phoenix Fleece,Women's Over-Oversized Pullover Hoodie,$75
Nike Sportswear Phoenix Fleece,Women's High-Waisted Oversized Sweatpants,$70
Nike Sportswear Women's Artist Collection,Bomber Jacket,$160
Nike Women's Artist Collection,Dri-FIT Long-Sleeve Sheer Printed Top,$70
Nike Freestyle,Women's Light-Support Padded Sports Bra,$50
Nike,Women's Light-Support Padded Jersey Sports Bra,$55
Nike Sportswear,Women's Oversized French Terry Shrug,$75
Nike Sportswear,Women's Oversized Full-Zip French Terry Hoodie,$90
Nike Sportswear,Women's Low-Rise Oversized French Terry Open-Hem Pants,$85
Nike x Jacquemus,Women's Bra,$110
Nike x Jacquemus,Women's Bra,$110
Nike x Jacquemus,Women's Bra,$110
Nike x Jacquemus,Women's Skirt,$200
Nike x Jacquemus,Women's Skirt,$200
Nike x Jacquemus,Women's Skirt,$200
Nike x Jacquemus,Women's Dress,$180
Nike x Jacquemus,Women's Dress,$180
Nike x Jacquemus,Women's Dress,$180
Nike x Jacquemus,Women's Track Jacket,$230
Nike x Jacquemus,Women's Track Jacket,$230
Nike x Jacquemus,Women's Track Jacket,$230
Nike x Jacquemus,Track Jacket,$250
Nike x Jacquemus,Track Jacket,$250
Nike x Jacquemus,Track Jacket,$250
Nike x Jacquemus,Track Pants,$210
Nike x Jacquemus,Track Pants,$210
Nike x Jacquemus,Track Pants,$210
Nike x Jacquemus,Short-Sleeve T-Shirt,$70
Nike x Jacquemus,Short-Sleeve T-Shirt,$70
Nike x Jacquemus,Short-Sleeve T-Shirt,$70
Team USA,Women's Nike Jacket,$400
USA,Women's Nike Pants,$300
Nike Swoosh Medium Support,Women's Padded Sports Bra,$40
Nike Zenvy,"Women's Gentle-Support High-Waisted 5"" Biker Shorts",$60
Team USA Phoenix Fleece,Women's Nike Crew-Neck Sweatshirt,$80
USA Essential,Women's Nike T-Shirt,$42
USA Phoenix Fleece,Women's Nike Pullover Hoodie,$75
USA Phoenix Fleece,Women's Nike Full-Zip Oversized Hoodie,$85
USA Swoosh,Women's Nike Dri-FIT Padded Sports Bra,$55
USA One Luxe,Women's Nike Dri-FIT Tank Top,$57
USA,Women's Nike Muscle Tank Top,$32
USA Essentials,Women's Nike Mid-Rise Biker Shorts,$45
USA One,Women's Nike Dri-FIT Running Tank,$35
Nike,Women's T-Shirt,$35
Nike,Women's T-Shirt,$35
Nike,Women's T-Shirt,$35
USAB Practice,Women's Nike Basketball Shorts,$55
USA Limited Home,Women's Nike Basketball Shorts,$75
Nike Sportswear Phoenix Fleece,Women's High-Waisted Wide-Leg Logo Pants,$80
Nike Pro,"Women's 3"" Shorts",$25.97
Nike Sportswear Tech Fleece Windrunner,Women's Full-Zip Hoodie,$145
Nike Sportswear Phoenix Fleece,Women's Oversized Crew-Neck Sweatshirt,$70
Nike Sportswear Phoenix Fleece,Women's Over-Oversized Crew-Neck Logo Sweatshirt,$80
Nike Sportswear Club Fleece,Women's Pullover Hoodie,$65
Nike Pro,Women's Mid-Rise Mesh-Paneled Leggings,$37.97
Nike Pro 365,"Women's 5"" Shorts",$32
Nike One,Women's Dri-FIT Bodysuit,$85
Nike Tempo,Women's Running Shorts (Plus Size),$32
Nike Dri-FIT,Women's T-Shirt,$30
Nike Sportswear Chill Terry,Women's Mid-Rise French Terry Open-Hem Sweatpants,$75
Nike Sportswear Essential,Women's Oversized T-Shirt,$35
Nike Aura,Crossbody Bag (2L),$38
Nike Sportswear Phoenix Fleece,Women's Over-Oversized Crew-Neck Sweatshirt,$70
NikeCourt Dri-FIT Advantage,Women's Pleated Tennis Skirt,$75
